,unique_id,radius,pre_buf_r,pre_buf_x0,pre_ring_r,pre_ring_x0,post_buf_r,post_buf_x0,post_ring_r,post_ring_x0,total_ring_r,total_ring_x0,buff_diff_growth,ring_diff_growth,ring_buff_diff
0,AGO1,10000,0.1310318344,4.69E-104,0.1185954126,1.29E-94,0.01524677345,1.15E-09,0.03734865406,1.33E-28,0.1200077696,1.05E-95,-0.1157850609,-0.08124675849,-0.03453830244
1,ARG1,10000,0.001376525272,665.4708253,0.01483392819,1.28E-09,0.01140060489,1.63E-06,0.01533820003,4.81E-10,0.01583822149,1.79E-10,0.01002407962,0.0005042718422,0.009519807781
3,ARG3,10000,0.04634191587,3.84E-36,0.02109665878,7.00E-15,0.02168099219,2.05E-15,0.01554559259,3.69E-10,0.01556301305,3.57E-10,-0.02466092368,-0.005551066196,-0.01910985749
4,ARG4,10000,0.05638739791,1.71E-44,0.04157218178,1.58E-32,0.02557110457,7.50E-19,0.02636529352,7.62E-20,0.01922792855,9.57E-14,-0.03081629335,-0.01520688825,-0.01560940509
5,ARG5,10000,0.05599494378,6.22E-44,0.04111679615,8.07E-32,0.02479520781,6.00E-18,0.02755336226,1.85E-20,0.02756540958,1.81E-20,-0.03119973597,-0.0135634339,-0.01763630207
6,ARG6,10000,0.0127858621,4.61E-08,0.08112235868,6.50E-65,0.04048828032,1.99E-31,0.04436914905,7.52E-35,0.05498185883,1.11E-43,0.02770241822,-0.03675320963,0.06445562785
7,ARG9,10000,0.03677548331,3.89E-28,0.02613781158,2.32E-19,0.02832473023,4.29E-21,0.0294658336,3.04E-22,0.02003992268,3.32E-14,-0.008450753081,0.003328022024,-0.0117787751
9,BEN1,10000,0.08119997176,2.51E-65,0.04405344616,9.99E-35,0.03815922604,6.78E-30,0.005831978077,0.03950561944,0.03948129387,6.48E-31,-0.04304074573,-0.03822146808,-0.004819277647
10,BGD1,10000,0.02853289638,4.07E-21,0.03733033426,1.04E-28,0.01992523575,7.94E-14,0.04065433759,1.47E-31,0.03083238588,2.89E-23,-0.008607660624,0.003324003331,-0.01193166396
11,BGD11,10000,0.01003697064,1.10E-05,0.00935643576,3.94E-05,0.07881744524,3.18E-63,0.06569813664,1.41E-52,0.01863523216,4.45E-13,0.0687804746,0.05634170088,0.01243877372
13,BGD3,10000,0.01995372008,3.36E-14,0.03630997726,2.21E-28,0.01885105696,2.75E-13,0.04476559994,1.68E-35,0.03595781751,4.16E-28,-0.001102663118,0.008455622672,-0.00955828579
14,BGD4,10000,0.06146645866,7.95E-49,-0.04790081713,1.04E+46,0.04775356017,1.78E-37,0.03953694835,1.08E-30,0.04010818269,3.59E-31,-0.01371289849,0.08743776548,-0.101150664
16,BGD5,10000,0.03683388349,1.28E-28,0.03433690393,7.13E-27,0.03092886655,9.75E-24,0.04989558761,5.54E-40,0.02964129536,5.78E-23,-0.005905016938,0.01555868368,-0.02146370062
17,BGD6,10000,0.005956344656,0.06258557389,0.004124013778,1.344040944,0.04204246457,1.11E-32,0.0466697308,8.17E-37,0.01458588881,1.34E-09,0.03608611991,0.04254571703,-0.006459597116
